INFO - 2024-07-23 18:05:51 - Sending CONNECT (u0, p0, wr0, wq0, wf0, c1, k60) client_id=b'logger'
INFO - 2024-07-23 18:05:51 - Received CONNACK (0, 0)
INFO - 2024-07-23 18:05:51 - Sending SUBSCRIBE (d0, m1) [(b'/topic/logging/mqtt', 0)]
INFO - 2024-07-23 18:05:51 - Sending SUBSCRIBE (d0, m2) [(b'/topic/logging/filesystem', 0)]
INFO - 2024-07-23 18:05:51 - Received SUBACK
INFO - 2024-07-23 18:05:51 - Received SUBACK
INFO - 2024-07-23 18:06:04 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (135 bytes)
INFO - 2024-07-23 18:06:04 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:06:04 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (135 bytes)
INFO - 2024-07-23 18:06:04 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:06:04 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (135 bytes)
INFO - 2024-07-23 18:06:05 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:06:05 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (135 bytes)
INFO - 2024-07-23 18:06:05 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:06:05 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (135 bytes)
INFO - 2024-07-23 18:06:06 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:06:06 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (135 bytes)
INFO - 2024-07-23 18:06:06 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:06:06 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (135 bytes)
INFO - 2024-07-23 18:06:06 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:06:06 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (135 bytes)
INFO - 2024-07-23 18:06:07 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
